step,ssim_score,loss
196,2.1550e-01,6.3750e+00
197,2.1590e-01,6.3300e+00
199,2.1650e-01,6.2280e+00
201,2.1710e-01,6.1320e+00
202,2.1750e-01,6.0810e+00
204,2.1820e-01,5.9900e+00
206,2.1870e-01,5.8950e+00
208,2.1930e-01,5.8010e+00
209,2.1950e-01,5.7640e+00
211,2.2010e-01,5.6740e+00
213,2.2070e-01,5.5970e+00
215,2.2130e-01,5.5130e+00
217,2.2160e-01,5.4360e+00
218,2.2230e-01,5.4020e+00
220,2.2250e-01,5.3180e+00
222,2.2330e-01,5.2480e+00
224,2.2370e-01,5.1740e+00
226,2.2430e-01,5.1020e+00
228,2.2500e-01,5.0250e+00
230,2.2540e-01,4.9550e+00
232,2.2600e-01,4.8870e+00
234,2.2650e-01,4.8220e+00
236,2.2690e-01,4.7570e+00
238,2.2750e-01,4.6850e+00
240,2.2810e-01,4.6240e+00
242,2.2840e-01,4.5580e+00
244,2.2910e-01,4.4930e+00
246,2.2940e-01,4.4410e+00
248,2.3000e-01,4.3860e+00
250,2.3040e-01,4.3260e+00
252,2.3080e-01,4.2720e+00
254,2.3150e-01,4.2130e+00
256,2.3190e-01,4.1610e+00
259,2.3270e-01,4.0750e+00
261,2.3310e-01,4.0240e+00
263,2.3360e-01,3.9710e+00
265,2.3410e-01,3.9190e+00
267,2.3460e-01,3.8680e+00
270,2.3540e-01,3.7900e+00
272,2.3590e-01,3.7420e+00
274,2.3640e-01,3.6950e+00
277,2.3690e-01,3.6280e+00
279,2.3750e-01,3.5850e+00
281,2.3790e-01,3.5380e+00
284,2.3860e-01,3.4720e+00
286,2.3910e-01,3.4300e+00
289,2.3980e-01,3.3660e+00
291,2.4030e-01,3.3240e+00
293,2.4070e-01,3.2840e+00
296,2.4140e-01,3.2240e+00
298,2.4200e-01,3.1840e+00
301,2.4250e-01,3.1250e+00
303,2.4300e-01,3.0870e+00
306,2.4370e-01,3.0330e+00
309,2.4430e-01,2.9790e+00
311,2.4470e-01,2.9420e+00
314,2.4550e-01,2.8880e+00
317,2.4600e-01,2.8400e+00
319,2.4650e-01,2.8120e+00
322,2.4720e-01,2.7610e+00
325,2.4790e-01,2.7160e+00
327,2.4800e-01,2.6840e+00
330,2.4890e-01,2.6410e+00
333,2.4930e-01,2.5950e+00
336,2.5000e-01,2.5530e+00
339,2.5060e-01,2.5120e+00
341,2.5090e-01,2.4840e+00
344,2.5160e-01,2.4430e+00
347,2.5220e-01,2.4020e+00
350,2.5280e-01,2.3640e+00
353,2.5350e-01,2.3220e+00
356,2.5400e-01,2.2830e+00
359,2.5470e-01,2.2470e+00
362,2.5530e-01,2.2080e+00
365,2.5590e-01,2.1700e+00
368,2.5650e-01,2.1350e+00
372,2.5720e-01,2.0900e+00
375,2.5790e-01,2.0590e+00
378,2.5830e-01,2.0260e+00
381,2.5900e-01,1.9930e+00
384,2.5950e-01,1.9610e+00
388,2.6020e-01,1.9210e+00
391,2.6070e-01,1.8920e+00
394,2.6130e-01,1.8620e+00
397,2.6180e-01,1.8340e+00
401,2.6260e-01,1.7960e+00
404,2.6300e-01,1.7680e+00
408,2.6380e-01,1.7330e+00
411,2.6440e-01,1.7060e+00
415,2.6500e-01,1.6710e+00
418,2.6550e-01,1.6460e+00
422,2.6620e-01,1.6100e+00
425,2.6680e-01,1.5840e+00
429,2.6740e-01,1.5520e+00
432,2.6790e-01,1.5280e+00
436,2.6870e-01,1.4980e+00
440,2.6910e-01,1.4750e+00
443,2.6960e-01,1.4540e+00
447,2.7020e-01,1.4260e+00
451,2.7090e-01,1.4000e+00
455,2.7160e-01,1.3740e+00
459,2.7210e-01,1.3520e+00
463,2.7270e-01,1.3270e+00
466,2.7310e-01,1.3100e+00
470,2.7360e-01,1.2870e+00
474,2.7420e-01,1.2670e+00
478,2.7480e-01,1.2470e+00
482,2.7540e-01,1.2270e+00
487,2.7620e-01,1.2020e+00
491,2.7670e-01,1.1820e+00
495,2.7740e-01,1.1640e+00
499,2.7800e-01,1.1450e+00
503,2.7850e-01,1.1270e+00
507,2.7910e-01,1.1090e+00
512,2.7980e-01,1.0880e+00
516,2.8030e-01,1.0710e+00
520,2.8090e-01,1.0550e+00
525,2.8160e-01,1.0350e+00
529,2.8210e-01,1.0190e+00
534,2.8280e-01,1.0020e+00
538,2.8330e-01,9.8770e-01
543,2.8390e-01,9.7090e-01
547,2.8440e-01,9.5710e-01
552,2.8510e-01,9.4040e-01
557,2.8560e-01,9.2430e-01
562,2.8640e-01,9.0910e-01
566,2.8690e-01,8.9640e-01
571,2.8740e-01,8.8100e-01
576,2.8820e-01,8.6660e-01
581,2.8870e-01,8.5150e-01
586,2.8940e-01,8.3690e-01
591,2.8980e-01,8.2420e-01
596,2.9050e-01,8.1080e-01
601,2.9110e-01,7.9760e-01
606,2.9160e-01,7.8450e-01
611,2.9230e-01,7.7190e-01
616,2.9280e-01,7.5970e-01
621,2.9340e-01,7.4770e-01
627,2.9400e-01,7.3300e-01
632,2.9460e-01,7.2100e-01
637,2.9520e-01,7.0890e-01
643,2.9580e-01,6.9500e-01
648,2.9640e-01,6.8390e-01
654,2.9690e-01,6.7130e-01
659,2.9750e-01,6.5950e-01
665,2.9800e-01,6.4670e-01
670,2.9840e-01,6.3750e-01
676,2.9900e-01,6.2590e-01
682,2.9950e-01,6.1480e-01
687,2.9990e-01,6.0680e-01
693,3.0040e-01,5.9760e-01
699,3.0090e-01,5.8700e-01
705,3.0140e-01,5.7780e-01
711,3.0190e-01,5.6840e-01
717,3.0240e-01,5.5950e-01
723,3.0300e-01,5.5000e-01
729,3.0350e-01,5.4110e-01
735,3.0400e-01,5.3190e-01
742,3.0460e-01,5.2190e-01
748,3.0510e-01,5.1310e-01
754,3.0560e-01,5.0530e-01
761,3.0630e-01,4.9560e-01
767,3.0680e-01,4.8780e-01
774,3.0740e-01,4.7840e-01
780,3.0790e-01,4.7060e-01
787,3.0850e-01,4.6130e-01
793,3.0900e-01,4.5330e-01
800,3.0950e-01,4.4460e-01
807,3.1000e-01,4.3580e-01
814,3.1050e-01,4.2690e-01
821,3.1110e-01,4.1790e-01
827,3.1160e-01,4.1000e-01
834,3.1200e-01,4.0020e-01
842,3.1260e-01,3.8990e-01
849,3.1320e-01,3.7990e-01
856,3.1370e-01,3.7020e-01
863,3.1410e-01,3.5970e-01
870,3.1450e-01,3.5060e-01
878,3.1500e-01,3.3890e-01
885,3.1530e-01,3.2970e-01
893,3.1570e-01,3.2230e-01
900,3.1610e-01,3.1600e-01
908,3.1660e-01,3.0890e-01
916,3.1710e-01,3.0230e-01
923,3.1770e-01,2.9650e-01
931,3.1820e-01,2.9020e-01
939,3.1880e-01,2.8410e-01
947,3.1940e-01,2.7820e-01
955,3.2000e-01,2.7200e-01
963,3.2050e-01,2.6640e-01
971,3.2100e-01,2.6110e-01
979,3.2170e-01,2.5570e-01
988,3.2220e-01,2.5000e-01
996,3.2280e-01,2.4540e-01
1005,3.2330e-01,2.4010e-01
1013,3.2390e-01,2.3550e-01
1022,3.2440e-01,2.3040e-01
1030,3.2490e-01,2.2650e-01
1039,3.2550e-01,2.2210e-01
1048,3.2600e-01,2.1770e-01
1057,3.2650e-01,2.1360e-01
1066,3.2700e-01,2.0970e-01
1075,3.2750e-01,2.0580e-01
1084,3.2800e-01,2.0200e-01
1093,3.2850e-01,1.9850e-01
1102,3.2900e-01,1.9490e-01
1111,3.2950e-01,1.9140e-01
1121,3.3020e-01,1.8770e-01
1130,3.3060e-01,1.8450e-01
1140,3.3110e-01,1.8100e-01
1150,3.3160e-01,1.7790e-01
1159,3.3210e-01,1.7490e-01
1169,3.3260e-01,1.7170e-01
1179,3.3320e-01,1.6850e-01
1189,3.3360e-01,1.6560e-01
1199,3.3410e-01,1.6280e-01
1209,3.3460e-01,1.6000e-01
1219,3.3510e-01,1.5720e-01
1230,3.3570e-01,1.5430e-01
1240,3.3620e-01,1.5180e-01
1251,3.3670e-01,1.4900e-01
1261,3.3720e-01,1.4670e-01
1272,3.3770e-01,1.4410e-01
1283,3.3820e-01,1.4170e-01
1294,3.3880e-01,1.3930e-01
1305,3.3920e-01,1.3700e-01
1316,3.3970e-01,1.3490e-01
1327,3.4020e-01,1.3270e-01
1338,3.4070e-01,1.3070e-01
1349,3.4120e-01,1.2870e-01
1361,3.4170e-01,1.2660e-01
1372,3.4210e-01,1.2470e-01
1384,3.4260e-01,1.2260e-01
1396,3.4310e-01,1.2060e-01
1407,3.4360e-01,1.1880e-01
1419,3.4410e-01,1.1690e-01
1431,3.4470e-01,1.1500e-01
1443,3.4510e-01,1.1320e-01
1456,3.4570e-01,1.1140e-01
1468,3.4610e-01,1.0970e-01
1480,3.4660e-01,1.0800e-01
1493,3.4710e-01,1.0640e-01
1506,3.4760e-01,1.0470e-01
1518,3.4810e-01,1.0330e-01
1531,3.4850e-01,1.0170e-01
1544,3.4910e-01,1.0010e-01
1557,3.4960e-01,9.8500e-02
1570,3.5000e-01,9.7000e-02
1584,3.5060e-01,9.5480e-02
1597,3.5110e-01,9.4140e-02
1611,3.5150e-01,9.2650e-02
1624,3.5200e-01,9.1300e-02
1638,3.5250e-01,8.9840e-02
1652,3.5300e-01,8.8490e-02
1666,3.5350e-01,8.7120e-02
1680,3.5400e-01,8.5870e-02
1694,3.5450e-01,8.4630e-02
1708,3.5490e-01,8.3380e-02
1723,3.5540e-01,8.2060e-02
1738,3.5590e-01,8.0820e-02
1752,3.5640e-01,7.9660e-02
1767,3.5680e-01,7.8420e-02
1782,3.5730e-01,7.7250e-02
1797,3.5770e-01,7.6090e-02
1812,3.5820e-01,7.4990e-02
1828,3.5870e-01,7.3800e-02
1843,3.5910e-01,7.2760e-02
1859,3.5960e-01,7.1670e-02
1874,3.6000e-01,7.0680e-02
1890,3.6050e-01,6.9650e-02
1906,3.6090e-01,6.8680e-02
1922,3.6140e-01,6.7720e-02
1939,3.6190e-01,6.6700e-02
1955,3.6230e-01,6.5750e-02
1972,3.6280e-01,6.4770e-02
1988,3.6320e-01,6.3890e-02
2005,3.6360e-01,6.2970e-02
2022,3.6410e-01,6.2050e-02
2039,3.6460e-01,6.1150e-02
2057,3.6500e-01,6.0230e-02
2074,3.6540e-01,5.9380e-02
2092,3.6590e-01,5.8490e-02
2109,3.6640e-01,5.7680e-02
2127,3.6680e-01,5.6860e-02
2145,3.6720e-01,5.6050e-02
2163,3.6770e-01,5.5270e-02
2182,3.6810e-01,5.4450e-02
2200,3.6850e-01,5.3700e-02
2219,3.6900e-01,5.2940e-02
2237,3.6930e-01,5.2210e-02
2256,3.6980e-01,5.1480e-02
2275,3.7020e-01,5.0730e-02
2295,3.7070e-01,4.9990e-02
2314,3.7110e-01,4.9320e-02
2334,3.7150e-01,4.8630e-02
2354,3.7190e-01,4.7960e-02
2373,3.7230e-01,4.7320e-02
2394,3.7280e-01,4.6620e-02
2414,3.7320e-01,4.6020e-02
2434,3.7360e-01,4.5390e-02
2455,3.7400e-01,4.4740e-02
2476,3.7440e-01,4.4110e-02
2497,3.7480e-01,4.3490e-02
2518,3.7520e-01,4.2890e-02
2539,3.7570e-01,4.2290e-02
2561,3.7610e-01,4.1700e-02
2582,3.7650e-01,4.1110e-02
2604,3.7690e-01,4.0530e-02
2626,3.7730e-01,3.9980e-02
2648,3.7770e-01,3.9430e-02
2671,3.7810e-01,3.8860e-02
2693,3.7850e-01,3.8310e-02
2716,3.7890e-01,3.7760e-02
2739,3.7930e-01,3.7210e-02
2762,3.7970e-01,3.6710e-02
2786,3.8010e-01,3.6170e-02
2809,3.8050e-01,3.5670e-02
2833,3.8090e-01,3.5170e-02
2857,3.8120e-01,3.4690e-02
2881,3.8160e-01,3.4200e-02
2906,3.8200e-01,3.3700e-02
2930,3.8240e-01,3.3220e-02
2955,3.8280e-01,3.2740e-02
2980,3.8310e-01,3.2280e-02
3005,3.8350e-01,3.1840e-02
3031,3.8390e-01,3.1380e-02
3056,3.8420e-01,3.0950e-02
3082,3.8460e-01,3.0510e-02
3108,3.8500e-01,3.0090e-02
3135,3.8540e-01,2.9640e-02
3161,3.8570e-01,2.9240e-02
3188,3.8610e-01,2.8810e-02
3215,3.8650e-01,2.8420e-02
3242,3.8680e-01,2.8020e-02
3270,3.8720e-01,2.7640e-02
3297,3.8760e-01,2.7260e-02
3325,3.8800e-01,2.6880e-02
3353,3.8830e-01,2.6490e-02
3382,3.8870e-01,2.6120e-02
3410,3.8910e-01,2.5760e-02
3439,3.8940e-01,2.5410e-02
3468,3.8980e-01,2.5050e-02
3498,3.9020e-01,2.4690e-02
3527,3.9050e-01,2.4340e-02
3557,3.9090e-01,2.3990e-02
3587,3.9130e-01,2.3640e-02
3618,3.9160e-01,2.3280e-02
3648,3.9200e-01,2.2940e-02
3679,3.9240e-01,2.2590e-02
3710,3.9270e-01,2.2250e-02
3742,3.9310e-01,2.1920e-02
3773,3.9340e-01,2.1620e-02
3805,3.9370e-01,2.1310e-02
3838,3.9410e-01,2.0990e-02
3870,3.9440e-01,2.0700e-02
3903,3.9480e-01,2.0410e-02
3936,3.9510e-01,2.0120e-02
3969,3.9550e-01,1.9830e-02
4003,3.9590e-01,1.9550e-02
4037,3.9620e-01,1.9290e-02
4071,3.9650e-01,1.9040e-02
4105,3.9690e-01,1.8770e-02
4140,3.9730e-01,1.8510e-02
4175,3.9760e-01,1.8260e-02
4210,3.9800e-01,1.8020e-02
4246,3.9830e-01,1.7770e-02
4282,3.9870e-01,1.7520e-02
4318,3.9910e-01,1.7290e-02
4355,3.9940e-01,1.7060e-02
4392,3.9980e-01,1.6820e-02
4429,4.0020e-01,1.6590e-02
4466,4.0060e-01,1.6370e-02
4504,4.0090e-01,1.6150e-02
4542,4.0130e-01,1.5930e-02
4581,4.0170e-01,1.5720e-02
4619,4.0200e-01,1.5510e-02
4659,4.0240e-01,1.5300e-02
4698,4.0270e-01,1.5100e-02
4738,4.0300e-01,1.4900e-02
4778,4.0340e-01,1.4700e-02
4818,4.0370e-01,1.4510e-02
4859,4.0410e-01,1.4310e-02
4900,4.0440e-01,1.4120e-02
4942,4.0480e-01,1.3940e-02
4984,4.0510e-01,1.3750e-02
5026,4.0550e-01,1.3570e-02
5068,4.0580e-01,1.3390e-02
5111,4.0610e-01,1.3210e-02
5154,4.0650e-01,1.3050e-02
5198,4.0680e-01,1.2870e-02
5242,4.0720e-01,1.2700e-02
5286,4.0750e-01,1.2540e-02
5331,4.0780e-01,1.2380e-02
5376,4.0820e-01,1.2220e-02
5422,4.0850e-01,1.2060e-02
5468,4.0890e-01,1.1900e-02
5514,4.0920e-01,1.1750e-02
5561,4.0950e-01,1.1590e-02
5608,4.0990e-01,1.1440e-02
5655,4.1020e-01,1.1300e-02
5703,4.1050e-01,1.1150e-02
5751,4.1090e-01,1.1010e-02
5800,4.1120e-01,1.0860e-02
5849,4.1150e-01,1.0720e-02
5899,4.1180e-01,1.0580e-02
5949,4.1220e-01,1.0450e-02
5999,4.1250e-01,1.0310e-02
6050,4.1280e-01,1.0170e-02
6101,4.1310e-01,1.0040e-02
6153,4.1350e-01,9.9050e-03
6205,4.1380e-01,9.7740e-03
6257,4.1410e-01,9.6470e-03
6310,4.1440e-01,9.5210e-03
6364,4.1470e-01,9.3970e-03
6418,4.1510e-01,9.2760e-03
6472,4.1540e-01,9.1570e-03
6527,4.1570e-01,9.0370e-03
6582,4.1600e-01,8.9230e-03
6638,4.1630e-01,8.8100e-03
6694,4.1660e-01,8.7010e-03
6750,4.1690e-01,8.5950e-03
6808,4.1730e-01,8.4860e-03
6865,4.1760e-01,8.3780e-03
6923,4.1790e-01,8.2760e-03
6982,4.1820e-01,8.1710e-03
7041,4.1850e-01,8.0690e-03
7101,4.1880e-01,7.9650e-03
7161,4.1910e-01,7.8670e-03
7221,4.1940e-01,7.7660e-03
7283,4.1970e-01,7.6670e-03
